NAME,USERNAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,CHANNEL
Pashto Entertainment Entertainment ,UC5o5At6pto0EYYa0-m3GIiA,19400.0,1.1,Afghanistan,celebrity,5800.0,youtube
Rashid Khan ,rashid.khan19,9100000.0,6.19,Afghanistan,cricket sports,2700000.0,instagram
Steve McCurry ,stevemccurryofficial,3600000.0,1.07,Afghanistan,art,1100000.0,instagram
د. وسيم يوسف ,waseem_yousef,3300000.0,0.19,Afghanistan,celebrities,993100.0,instagram
AHMAD SAEEDI / احمد سعيدي ,ahmadsaeedi1,3200000.0,1.71,Afghanistan,music singer songwriting,948300.0,instagram
Shakila Mohseni ,shakila.music,2200000.0,2.86,Afghanistan,art,653100.0,instagram
𝝠𝗥𝗬𝝠𝗡𝝠 𝗦𝝠𝗬𝗘𝗘𝗗 👑 آریانا سعید ,aryanasayeedofficial,1900000.0,0.35,Afghanistan,entertainment and music romance and wedding music singer,583700.0,instagram
غزل سادات Ghazal Sadat ,officialghazalsadat,1700000.0,1.82,Afghanistan,beauty and self care fashion and accessories modeling,511700.0,instagram
GHEZAAL ENAYAT ❤️‍🔥🎙غزال عنایت ,ghezaalmusic,1700000.0,0.86,Afghanistan,entertainment and music music,510900.0,instagram
Rahmanullah Gurbaz ,rahmanullah.gurbaz,1500000.0,8.86,Afghanistan,sports,459600.0,instagram
ApoRed ,apored,1400000.0,2.6,Afghanistan,art,426800.0,instagram
مریم معصومی ,maryammasoumi_,1400000.0,2.58,Afghanistan,acting and drama celebrity modeling,408200.0,instagram
Qays Sheikh Najib ,qayssheikhnajibofficial,1300000.0,1.7,Afghanistan,acting and drama,398000.0,instagram
Ziba Ghafar ,zebagulley,1100000.0,0.3,Afghanistan,travel food,330200.0,instagram
Fatima Esmat ف ,esmatfatima,1100000.0,4.5,Afghanistan,art modeling,325900.0,instagram
Seeta_Qasemie سیتا قاسمی🧿 ,seetaqasemieofficial,1000000.0,0.68,Afghanistan,entertainment and music music,304500.0,instagram
KEHINDE BANKOLE ,_kehindebankole,984600.0,2.29,Afghanistan,entertainment and music acting and drama celebrity entertainment,295400.0,instagram
AfghanBollywood ,afghanbollywood,948800.0,0.04,Afghanistan,entertainment and music,284600.0,instagram
AFGHAN FACE ,afghanface,928700.0,0.19,Afghanistan,entertainment and music photography music news,278600.0,instagram
Qais Ulfat ,qaisulfat,855200.0,1.22,Afghanistan,entertainment and music celebrity singer music,256600.0,instagram
Maryam Khorami مريم خُرمي ,maryam.khorami,836400.0,1.6,Afghanistan,entertainment and music,250900.0,instagram
Ali ,aliabdelaziz000,744400.0,1.0,Afghanistan,fitness and health outdoor activity sports coaching,223300.0,instagram
Ziba Hamidi ,ziba.hamidiofficial,697300.0,0.81,Afghanistan,beauty and self care music,209200.0,instagram
BIG BINO🤴 ,kayumbaasosie,682800.0,0.22,Afghanistan,entertainment and music music singer,204800.0,instagram
Dr.Ramsha Shafa ,dr.ramshashafa,614600.0,0.4,Afghanistan,entertainment and music singer music,184400.0,instagram
Farhad Darya ,farhaddaryaofficial,533000.0,0.79,Afghanistan,entertainment and music singer music songwriting,159900.0,instagram
Frouzan M. 💄🇦🇫🇨🇦 ,froartistry,465000.0,0.94,Afghanistan,beauty and self care marketing and advertising hair beauty celebrities,139500.0,instagram
Dr Nadia Nadim ,nadi9nadim,450200.0,0.84,Afghanistan,sports coaching modeling,135000.0,instagram
AF WORLD by AFLU ,afluhere,441900.0,4.9,Afghanistan,education upskilling business and finance,132600.0,instagram
Afghan Fashion - افغان فيشن ,afghan.fashions,421600.0,0.5,Afghanistan,fashion and accessories,126500.0,instagram
Ali Hosseini ,hazara_nationality90,416500.0,0.22,Afghanistan,photography modeling,124900.0,instagram
Fatma Badran ,maison.fatma,413300.0,0.19,Afghanistan,fashion and accessories,124000.0,instagram
The Ohana Adventure ,theohanaadventure,410700.0,0.93,Afghanistan,family celebrity acting,123200.0,instagram
Shafiqa shamel ,shafiqa_shamel,386600.0,0.4,Afghanistan,beauty and self care family,116000.0,instagram
Afghanistan Cricket Board ,afghanistancricketboard,374200.0,34.39,Afghanistan,sports cricket,112200.0,instagram
Bilal F Mohammad ,alihealth_1,364000.0,9.82,Afghanistan,fitness and health,109200.0,instagram
Moe Shalizi ,shalizi,340100.0,1.09,Afghanistan,entertainment and music home and garden coaching actors,102000.0,instagram
Afghan Saiyan .🇦🇫🔥...🎬CLIPS ♠🔵 ,afghan_star_clips_,324500.0,0.1,Afghanistan,entertainment and music,97400.0,instagram
Kabul Music ,kabul_music,315400.0,0.22,Afghanistan,entertainment and music funny celebrity news,94600.0,instagram
Ali Fareedon | علي فريدون ,alifareedon.official,300000.0,0.3,Afghanistan,acting and drama,90000.0,instagram
Jawid Sharif ,jawidsharifmusicofficial,293900.0,0.4,Afghanistan,entertainment and music,88200.0,instagram
شيمـاء رحيمـي ,shaimarahimi,292200.0,0.19,Afghanistan,entertainment and music fashion and accessories beauty and self care business and finance,87700.0,instagram
Afghan▕ Turkish▕ Iranian ,afghanwedding_,291000.0,0.12,Afghanistan,romance and wedding parenting marketing and advertising events,87300.0,instagram
Najiba Faiz Queen نجيبه فيض ,najiba_queen,287900.0,0.02,Afghanistan,entertainment and music,86400.0,instagram
Afghan Star 14⚡صدیقه مددگار ,sadiqa_madadgar,281700.0,2.45,Afghanistan,music,84500.0,instagram
𝗔𝘀𝗵𝗸𝗮𝗻 𝗔𝗿𝗮𝗯 | اشكان عرب ,ashkan_arab,269100.0,5.94,Afghanistan,music,80700.0,instagram
AFGHAN ORG ,afghanorg,261500.0,0.4,Afghanistan,entertainment and music funny,78400.0,instagram
🔱معرفي جراحان بيني👃🏼 🔱 ,jarahibinii,256600.0,0.06,Afghanistan,fashion pets,77000.0,instagram
Andro 🦋 ,andro121,255900.0,1.01,Afghanistan,entertainment and music television,76800.0,instagram
Mohammad Nabi ,mohammadnabi07,252400.0,4.5,Afghanistan,sports education cricket,75700.0,instagram
Aryana Sayeed Updates ,aryanasayeed.updates,236600.0,0.47,Afghanistan,entertainment and music modeling music entertainment,71000.0,instagram
AFGHAN INSTA ,afghan_insta,229600.0,0.19,Afghanistan,photography travel,68900.0,instagram
#Teamwork#TagMeWhenSheReplies✌ ,wemareplies,218600.0,0.3,Afghanistan,entertainment and music singer,65600.0,instagram
Asma Nawid ,asmanawid1,215800.0,1.61,Afghanistan,romance and wedding celebrity,64700.0,instagram
Mastora Akbari ,mastora__akbari,207100.0,3.29,Afghanistan,shopping,62100.0,instagram
Ziba Gulley 🥀 ,xzayx89,14500000.0,0.3,Afghanistan,business and finance,4400000.0,tiktok
MC RAJI ,mcrajiofficial,852900.0,0.1,Afghanistan,entertainment and music funny celebrity,255900.0,tiktok
Habari_Njema ,habari_njema,513400.0,0.2,Afghanistan,entertainment and music education,154000.0,tiktok
chief 💫 ,officiallchief,325100.0,0.5,Afghanistan,entertainment and music,97500.0,tiktok
KHALID SHERZAD ,khalid_sherzad,286700.0,0.4,Afghanistan,funny,86000.0,tiktok
Edrees Sharifi ,edreessharifi,276000.0,0.3,Afghanistan,video gaming,82800.0,tiktok
user6292984813953 ,shaz_nawabi1,253900.0,0.1,Afghanistan,funny,76200.0,tiktok
Pearl Thusi ,pearlthusi,93600.0,0.63,Afghanistan,entertainment music,28100.0,threads
TOLOnews Official ,tolonewsofficial,14300.0,0.07,Afghanistan,news politics,4300.0,threads
"Dr Nadine Hosny El Said, PhD. ",nounamoz,7100.0,0.05,Afghanistan,fitness health dance education,2100.0,threads
Ali Abdelaziz ,aliabdelaziz000,5900.0,0.25,Afghanistan,fitness health outdoor activity sports,1800.0,threads
Yeldah یلدا | 🇦🇫🇨🇦 ,beautiful.bibliophile,4500.0,0.48,Afghanistan,arts crafts education travel food,1400.0,threads
خالد صافي Khaled Safi ,khaledsafi,4000.0,0.24,Afghanistan,education finance life society,1200.0,threads
Mansoor Abdullatif ,sangeema74,3900.0,0.11,Afghanistan,life society,1200.0,threads
